Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,17.350000381469727,17.649999618530273,17.0,17.600000381469727,17.470111846923828,2165029
2023-01-04,17.649999618530273,18.049999237060547,17.549999237060547,17.75,17.619003295898438,2214025
2023-01-05,17.75,18.700000762939453,17.75,18.299999237060547,18.16494369506836,5374125
2023-01-06,18.049999237060547,18.350000381469727,17.799999237060547,18.149999618530273,18.01605224609375,2603025
2023-01-09,18.299999237060547,18.450000762939453,17.950000762939453,18.149999618530273,18.01605224609375,2201050
2023-01-10,18.75,18.75,17.5,17.5,17.370849609375,2898438
2023-01-11,17.5,18.0,17.5,17.700000762939453,17.569374084472656,2480025
2023-01-12,17.950000762939453,18.0,17.600000381469727,17.799999237060547,17.66863441467285,1102096
2023-01-13,18.0,18.450000762939453,17.799999237060547,18.149999618530273,18.01605224609375,4056040
2023-01-16,18.350000381469727,18.950000762939453,18.100000381469727,18.799999237060547,18.6612548828125,5679245
2023-01-17,19.0,19.049999237060547,18.399999618530273,18.450000762939453,18.313838958740234,5853030
2023-01-30,18.75,18.899999618530273,18.399999618530273,18.799999237060547,18.6612548828125,4218030
2023-01-31,19.200000762939453,19.700000762939453,19.0,19.549999237060547,19.405719757080078,8581030
2023-02-01,19.600000381469727,19.899999618530273,19.350000381469727,19.649999618530273,19.504981994628906,5149000
2023-02-02,19.850000381469727,20.299999237060547,19.549999237060547,19.649999618530273,19.504981994628906,4849539
2023-02-03,19.700000762939453,21.25,19.600000381469727,20.549999237060547,20.398338317871094,12827500
2023-02-06,20.799999237060547,21.25,19.75,19.799999237060547,19.653873443603516,12927800
2023-02-07,19.799999237060547,20.200000762939453,19.799999237060547,19.799999237060547,19.653873443603516,4144316
2023-02-08,20.0,20.549999237060547,19.799999237060547,19.850000381469727,19.703506469726562,3803201
2023-02-09,19.850000381469727,20.450000762939453,19.350000381469727,20.299999237060547,20.150184631347656,6017271
2023-02-10,19.799999237060547,20.149999618530273,19.0,19.049999237060547,18.909408569335938,6072294
2023-02-13,18.950000762939453,19.700000762939453,18.700000762939453,18.75,18.611623764038086,32866823
2023-02-14,18.799999237060547,19.450000762939453,18.549999237060547,19.399999618530273,19.256826400756836,6547005
2023-02-15,19.399999618530273,20.049999237060547,19.299999237060547,19.5,19.356088638305664,7301181
2023-02-16,19.5,20.149999618530273,19.5,20.149999618530273,20.001291275024414,5508233
2023-02-17,20.100000381469727,20.600000381469727,19.899999618530273,20.299999237060547,20.150184631347656,6137999
2023-02-20,20.75,21.149999618530273,20.25,20.549999237060547,20.398338317871094,8859025
2023-02-21,20.700000762939453,21.149999618530273,20.600000381469727,20.850000381469727,20.696125030517578,5238020
2023-02-22,20.649999618530273,20.700000762939453,20.0,20.149999618530273,20.001291275024414,4099030
2023-02-23,20.25,20.450000762939453,20.200000762939453,20.350000381469727,20.19981575012207,1994025
2023-02-24,20.399999618530273,21.700000762939453,20.100000381469727,20.75,20.59686279296875,11349499
2023-03-01,20.799999237060547,21.149999618530273,20.25,20.75,20.59686279296875,5360100
2023-03-02,20.700000762939453,21.0,20.450000762939453,20.5,20.348709106445312,2660001
2023-03-03,20.799999237060547,22.549999237060547,20.700000762939453,22.549999237060547,22.38357925415039,18896487
2023-03-06,23.75,24.799999237060547,22.75,24.799999237060547,24.616973876953125,24937409
2023-03-07,25.0,25.299999237060547,24.049999237060547,24.799999237060547,24.616973876953125,39411360
2023-03-08,24.75,24.75,22.75,23.100000381469727,22.929521560668945,37466099
2023-03-09,23.25,23.25,21.950000762939453,22.049999237060547,21.88726806640625,13788090
2023-03-10,22.299999237060547,22.850000381469727,21.850000381469727,22.049999237060547,21.88726806640625,15029020
2023-03-13,21.899999618530273,22.0,21.200000762939453,21.850000381469727,21.688745498657227,7400136
2023-03-14,21.700000762939453,22.149999618530273,21.299999237060547,21.299999237060547,21.142803192138672,5201500
2023-03-15,21.700000762939453,22.0,21.549999237060547,21.600000381469727,21.44059181213379,3682160
